heat_id,timestamp,shift,operator_id,furnace_id,mold_line_id,pattern_id,pattern_age_cycles,season,ambient_temp_C,ambient_humidity_pct,sand_moisture_pct,mold_hardness_B,mold_temp_C,binder_pct,mold_permeability,C_pct,Si_pct,Mn_pct,S_pct,P_pct,Cr_pct,carbon_equivalent,mn_s_ratio_ok,pour_temp_C,superheat_C,pour_rate_kg_per_s,pour_delay_min,cooling_rate_C_per_min,fade_time_min,inoculant_dose_pct,core_moisture_pct,furnace_temp_drift_C,bore_diameter_mm,deck_height_mm,wall_thickness_mm,surface_roughness_Ra_um,defect_class,severity,disposition,customer_complaint,yield_pct,casting_weight_kg,warranty_risk_score,oem_customer
H-2025-00020,2025-01-02 13:43:00,A,OP-104,F1,ML-1,PT-B,406,Winter,16.8,56.7,3.43,88.3,29.5,1.92,128.3,3.268,2.109,0.611,0.101,0.096,0.051,4.003,True,1401.4,221.4,6.5,0.47,10.34,3.1,0.223,2.37,6.1,89.5102,220.0168,4.5304,4.64,None,None,OK,False,97.46,216.78,2.81,OEM-ASHOK_LEYLAND
H-2025-00021,2025-01-02 14:21:00,B,OP-217,F1,ML-2,PT-C,704,Winter,19.5,59.3,2.83,84.8,37.4,1.88,126.0,3.567,1.966,0.623,0.083,0.104,0.002,4.257,True,1411.4,231.4,7.33,0.34,11.9,16.3,0.196,2.75,11.1,89.4818,219.9809,4.5235,3.96,None,None,OK,False,98.2,218.18,3.04,OEM-TATA
H-2025-00022,2025-01-02 15:25:00,B,OP-217,F1,ML-1,PT-A,109,Winter,16.1,44.2,2.5,82.1,26.2,1.85,117.7,3.522,1.895,0.616,0.091,0.069,0.024,4.177,True,1414.9,234.9,6.71,1.55,16.0,3.1,0.214,2.55,8.0,89.5197,219.9877,4.542,5.67,None,None,OK,False,97.23,213.64,3.94,OEM-TATA
H-2025-00023,2025-01-02 16:27:00,B,OP-217,F2,ML-1,PT-A,110,Winter,17.0,52.7,2.67,81.4,30.0,1.77,102.4,3.463,2.08,0.716,0.106,0.09,0.021,4.186,True,1389.3,209.3,7.1,2.69,13.23,17.0,0.164,2.43,2.9,89.5144,220.002,4.4648,6.15,None,None,OK,False,96.39,213.42,3.47,OEM-TATA
H-2025-00024,2025-01-02 17:16:00,B,OP-217,F1,ML-2,PT-B,407,Winter,18.7,56.0,2.5,82.8,28.2,1.81,123.9,3.434,2.099,0.516,0.084,0.095,0.004,4.165,True,1421.2,241.2,5.02,3.16,10.22,3.8,0.177,2.44,8.2,89.4969,220.0075,4.5166,4.3,None,None,OK,False,98.6,219.89,1.46,OEM-TATA
H-2025-00025,2025-01-02 17:29:00,B,OP-217,F2,ML-2,PT-C,705,Winter,23.2,51.1,3.24,76.3,36.2,1.78,120.0,3.436,2.17,0.643,0.099,0.072,0.038,4.183,True,1406.0,226.0,6.73,11.71,12.65,12.9,0.226,2.34,-0.6,89.4725,219.9842,4.5505,4.62,None,None,OK,False,94.41,218.44,3.97,OEM-TATA
H-2025-00026,2025-01-02 17:32:00,B,OP-217,F2,ML-1,PT-A,111,Winter,19.0,58.7,3.0,75.7,32.5,2.04,139.2,3.321,1.935,0.595,0.09,0.05,0.017,3.983,True,1380.2,200.2,8.29,5.46,11.34,13.9,0.179,2.62,0.4,89.4898,220.0127,4.5427,5.6,None,None,OK,False,95.35,216.35,2.04,OEM-MAHINDRA
H-2025-00027,2025-01-02 18:33:00,B,OP-217,F1,ML-1,PT-C,706,Winter,18.2,50.2,2.5,80.7,27.6,2.17,118.4,3.454,2.076,0.661,0.074,0.079,0.1,4.172,True,1385.7,205.7,7.24,3.87,14.9,3.9,0.227,2.38,7.2,89.5016,219.9907,4.4322,5.04,None,None,OK,False,94.79,216.29,4.12,OEM-TATA
H-2025-00028,2025-01-02 18:50:00,B,OP-217,F2,ML-1,PT-B,408,Winter,21.4,45.4,2.5,80.6,36.3,1.89,132.3,3.459,2.038,0.661,0.082,0.05,0.006,4.155,True,1430.1,250.1,4.62,1.31,11.86,4.3,0.196,2.88,3.5,89.5009,220.01,4.4847,5.43,None,None,OK,False,97.92,214.0,0.58,OEM-TATA
H-2025-00029,2025-01-02 19:44:00,B,OP-217,F1,ML-1,PT-C,707,Winter,21.6,49.4,2.5,72.1,37.9,1.86,117.1,3.451,2.058,0.538,0.073,0.105,0.027,4.172,True,1394.0,214.0,7.71,2.3,8.21,14.6,0.213,2.0,5.9,89.49,219.9991,4.5068,5.4,None,None,OK,False,96.95,218.14,2.85,OEM-TATA
H-2025-00030,2025-01-02 22:29:00,C,OP-308,F1,ML-1,PT-A,112,Winter,19.9,49.8,3.1,83.6,36.0,1.93,124.7,3.278,2.275,0.676,0.094,0.087,0.035,4.065,True,1439.3,259.3,8.63,2.22,11.28,2.7,0.29,2.65,6.7,89.5215,219.9991,4.4307,6.68,None,None,OK,False,97.1,214.29,3.31,OEM-TATA
H-2025-00031,2025-01-02 22:49:00,C,OP-308,F2,ML-2,PT-A,113,Winter,18.3,45.1,3.27,85.9,33.6,1.78,103.1,3.311,2.267,0.634,0.099,0.072,0.036,4.091,True,1386.6,206.6,6.13,0.3,11.47,14.5,0.234,2.68,2.3,89.4874,220.0035,4.5107,6.26,None,None,OK,False,96.5,216.33,2.62,OEM-TATA
H-2025-00032,2025-01-02 23:33:00,C,OP-308,F2,ML-1,PT-A,114,Winter,18.4,55.7,2.5,87.0,27.8,2.0,95.3,3.273,2.249,0.5,0.064,0.093,0.006,4.054,True,1403.3,223.3,7.71,2.19,7.55,1.4,0.255,2.45,2.7,89.4726,220.0042,4.4473,6.09,None,None,OK,False,97.76,216.46,3.31,OEM-MAHINDRA
H-2025-00033,2025-01-02 23:56:00,C,OP-308,F1,ML-1,PT-B,409,Winter,17.5,52.4,3.17,84.0,31.7,1.93,115.6,3.47,2.069,0.5,0.071,0.055,0.039,4.178,True,1389.0,209.0,7.23,5.33,12.6,21.2,0.16,2.6,8.7,89.5101,220.0017,4.4869,6.25,None,None,OK,False,95.26,214.32,2.63,OEM-TATA
H-2025-00034,2025-01-02 23:56:00,C,OP-308,F2,ML-2,PT-C,708,Winter,18.9,47.4,2.6,81.4,33.9,1.63,132.0,3.386,2.065,0.518,0.079,0.097,0.002,4.107,True,1373.3,193.3,7.94,1.67,17.46,0.7,0.217,2.48,0.5,89.5093,219.9987,4.4799,5.87,None,None,OK,False,93.38,216.03,4.48,OEM-MAHINDRA
H-2025-00035,2025-01-03 03:21:00,C,OP-308,F2,ML-2,PT-A,115,Winter,17.3,48.4,3.15,86.6,32.9,2.03,122.4,3.397,2.228,0.599,0.072,0.08,0.101,4.166,True,1393.2,213.2,8.13,3.12,10.28,0.0,0.261,2.57,-0.4,89.4963,220.015,4.4813,6.06,None,None,OK,False,97.11,214.72,2.9,OEM-TATA
H-2025-00036,2025-01-03 08:03:00,A,OP-104,F2,ML-1,PT-A,116,Winter,21.1,47.4,2.5,88.6,36.2,1.75,114.1,3.419,2.281,0.587,0.081,0.08,0.043,4.206,True,1421.1,241.1,7.35,4.05,4.11,3.0,0.223,2.76,2.8,89.4967,220.0396,4.4897,5.77,None,None,OK,False,96.5,211.32,1.71,OEM-TATA
H-2025-00037,2025-01-03 08:35:00,A,OP-104,F2,ML-1,PT-A,117,Winter,23.2,49.0,2.8,85.5,37.4,1.91,109.3,3.181,2.351,0.53,0.09,0.068,0.05,3.987,True,1406.1,226.1,7.56,0.54,9.92,7.4,0.194,2.76,4.2,89.4972,220.0174,4.4354,3.42,None,None,OK,False,98.69,213.52,1.47,OEM-TATA
H-2025-00038,2025-01-03 09:02:00,A,OP-104,F1,ML-1,PT-B,410,Winter,18.0,50.6,2.62,87.1,33.3,1.89,94.8,3.456,2.122,0.705,0.104,0.07,0.063,4.187,True,1424.1,244.1,9.12,4.26,17.48,8.0,0.193,2.46,7.5,89.4946,219.9906,4.5141,5.94,Dimensional_NC,Minor_Rework,Rework,False,94.65,210.34,4.6,OEM-TATA
H-2025-00039,2025-01-03 13:59:00,A,OP-104,F1,ML-2,PT-C,709,Winter,17.9,46.6,2.9,87.2,34.5,2.05,127.8,3.285,2.128,0.596,0.077,0.086,0.026,4.023,True,1405.3,225.3,10.5,0.83,8.8,8.7,0.166,2.14,6.3,89.5106,220.0166,4.5065,6.51,None,None,OK,False,98.23,220.17,2.11,OEM-TATA
H-2025-00040,2025-01-03 16:04:00,B,OP-217,F1,ML-1,PT-A,118,Winter,23.2,56.4,2.93,87.3,36.9,1.87,110.6,3.296,2.202,0.673,0.076,0.059,0.013,4.05,True,1436.4,256.4,7.82,1.73,14.19,11.1,0.187,2.78,7.4,89.502,220.0101,4.5124,5.72,None,None,OK,False,96.54,210.78,1.61,OEM-TATA
H-2025-00041,2025-01-03 16:29:00,B,OP-217,F2,ML-1,PT-B,411,Winter,20.5,58.6,2.97,72.0,30.0,2.15,83.7,3.25,2.226,0.5,0.09,0.053,0.04,4.009,True,1383.7,203.7,7.37,0.78,10.15,7.6,0.175,2.59,2.6,89.4893,220.0171,4.5342,4.51,None,None,OK,False,96.87,213.24,2.18,OEM-TATA
H-2025-00042,2025-01-03 17:45:00,B,OP-217,F2,ML-1,PT-B,412,Winter,21.8,50.5,2.72,83.6,38.0,2.11,118.3,3.36,2.049,0.529,0.084,0.095,0.002,4.074,True,1433.3,253.3,6.61,3.0,11.8,6.3,0.172,2.48,1.7,89.5123,220.0084,4.5305,6.09,None,None,OK,False,97.52,212.9,2.22,OEM-TATA
H-2025-00043,2025-01-03 18:26:00,B,OP-217,F2,ML-2,PT-C,710,Winter,23.1,54.2,3.4,80.4,37.7,1.94,130.8,3.342,2.08,0.628,0.061,0.085,0.045,4.063,True,1404.5,224.5,7.06,7.55,10.91,6.2,0.223,2.76,4.1,89.5169,220.0042,4.4996,4.2,None,None,OK,False,95.74,217.41,3.03,OEM-MAHINDRA
H-2025-00044,2025-01-03 20:47:00,B,OP-217,F2,ML-1,PT-C,711,Winter,21.3,58.6,2.9,81.2,36.2,2.26,157.3,3.183,2.4,0.622,0.072,0.058,0.004,4.002,True,1379.8,199.8,7.19,0.32,8.9,6.6,0.184,2.65,3.4,89.5009,219.9588,4.5113,5.3,None,None,OK,False,96.1,212.78,1.05,OEM-TATA
H-2025-00045,2025-01-03 21:44:00,B,OP-217,F2,ML-2,PT-A,119,Winter,21.9,43.8,2.9,83.4,32.9,1.89,139.5,3.135,2.127,0.527,0.079,0.077,0.028,3.87,True,1382.6,202.6,7.26,6.91,9.24,4.6,0.223,2.59,2.3,89.4997,219.99,4.5322,5.66,None,None,OK,False,95.5,217.54,1.53,OEM-MAHINDRA
H-2025-00046,2025-01-03 21:50:00,B,OP-217,F1,ML-1,PT-B,413,Winter,19.1,43.8,2.81,81.0,28.6,1.83,125.5,3.326,2.211,0.584,0.096,0.076,0.015,4.088,True,1412.8,232.8,5.17,1.02,14.96,6.1,0.203,3.21,5.1,89.5136,220.0148,4.4668,7.27,None,None,OK,False,97.6,212.14,3.09,OEM-TATA
H-2025-00047,2025-01-03 23:10:00,C,OP-308,F1,ML-1,PT-C,712,Winter,23.5,41.5,2.85,83.8,39.3,2.22,117.6,3.448,2.004,0.586,0.101,0.062,0.074,4.136,True,1393.2,213.2,6.99,0.89,14.2,0.6,0.284,2.66,7.0,89.5235,220.0217,4.5118,6.41,None,None,OK,False,96.05,218.65,4.55,OEM-TATA
H-2025-00048,2025-01-04 01:25:00,C,OP-308,F2,ML-1,PT-C,713,Winter,21.6,48.8,2.5,82.4,30.1,2.07,126.4,3.436,2.055,0.608,0.069,0.079,0.11,4.147,True,1410.0,230.0,7.31,1.58,12.83,6.1,0.192,2.98,1.2,89.4939,219.9766,4.4663,5.39,None,None,OK,False,97.76,216.09,3.69,OEM-TATA
H-2025-00049,2025-01-04 02:52:00,C,OP-308,F1,ML-1,PT-B,414,Winter,16.6,46.6,2.91,84.6,28.6,2.08,115.6,3.47,1.947,0.517,0.073,0.075,0.011,4.144,True,1399.7,219.7,7.21,1.37,9.95,0.6,0.225,2.7,6.9,89.5004,219.9797,4.4617,5.63,Dimensional_NC,Minor_Rework,Rework,False,96.98,212.43,1.43,OEM-TATA
H-2025-00050,2025-01-04 03:10:00,C,OP-308,F2,ML-1,PT-A,120,Winter,20.8,51.2,2.9,84.2,33.9,2.06,107.4,3.326,1.998,0.531,0.097,0.091,0.007,4.023,True,1389.3,209.3,7.86,1.01,11.29,0.1,0.174,2.66,2.3,89.5017,220.0141,4.4789,3.93,None,None,OK,False,97.22,213.89,1.64,OEM-TATA
H-2025-00051,2025-01-04 03:29:00,C,OP-308,F1,ML-1,PT-B,415,Winter,16.8,49.0,2.5,80.1,24.9,2.07,103.1,3.308,2.189,0.645,0.077,0.083,0.02,4.065,True,1399.1,219.1,9.15,1.79,12.07,9.5,0.186,2.75,8.4,89.4974,219.9928,4.4976,5.17,None,None,OK,False,97.75,211.92,1.78,OEM-TATA
H-2025-00052,2025-01-04 05:15:00,C,OP-308,F2,ML-1,PT-B,416,Winter,20.2,43.8,2.52,84.4,34.1,1.99,87.4,3.337,2.164,0.505,0.09,0.065,0.012,4.08,True,1378.8,198.8,8.06,1.36,12.63,8.4,0.197,2.64,-0.5,89.5017,220.0052,4.5126,4.27,None,None,OK,False,95.79,213.64,1.61,OEM-MAHINDRA
H-2025-00053,2025-01-04 09:06:00,A,OP-104,F2,ML-1,PT-A,121,Winter,16.7,47.8,3.5,87.2,25.9,1.83,122.8,3.447,2.287,0.61,0.082,0.065,0.002,4.231,True,1414.2,234.2,7.95,0.42,12.25,6.5,0.209,2.82,3.2,89.5426,220.0071,4.4715,7.28,None,None,OK,False,97.68,213.23,4.18,OEM-TATA
H-2025-00054,2025-01-04 10:43:00,A,OP-104,F2,ML-1,PT-C,714,Winter,21.0,40.6,2.5,85.8,31.4,1.72,123.4,3.544,2.035,0.556,0.085,0.083,0.044,4.25,True,1413.9,233.9,8.22,3.83,10.49,1.8,0.196,2.47,2.1,89.495,220.0175,4.5401,4.78,None,None,OK,False,98.05,211.31,2.2,OEM-TATA
H-2025-00055,2025-01-04 14:51:00,B,OP-217,F2,ML-1,PT-A,122,Winter,19.7,50.7,2.64,84.6,37.6,1.88,138.8,3.295,2.138,0.568,0.078,0.05,0.069,4.024,True,1384.6,204.6,8.4,3.65,9.8,16.3,0.169,2.27,2.6,89.5151,220.0261,4.5053,4.45,None,None,OK,False,96.55,213.89,2.88,OEM-TATA
H-2025-00056,2025-01-04 16:30:00,B,OP-217,F2,ML-1,PT-C,715,Winter,20.4,45.4,2.79,80.7,34.0,1.99,84.0,3.318,2.106,0.535,0.101,0.055,0.036,4.038,True,1384.5,204.5,9.73,1.92,11.14,13.5,0.233,2.13,3.2,89.4887,219.9828,4.4905,5.07,None,None,OK,False,96.47,211.37,2.28,OEM-MAHINDRA
H-2025-00057,2025-01-04 17:16:00,B,OP-217,F2,ML-1,PT-A,123,Winter,21.2,42.2,2.5,78.1,38.9,2.12,135.7,3.354,1.982,0.5,0.061,0.072,0.006,4.038,True,1366.6,186.6,7.4,2.01,14.62,3.3,0.22,2.61,0.9,89.4945,219.987,4.4863,6.36,Cold_Shut,Scrap,Scrap,False,88.78,216.7,5.79,OEM-TATA
H-2025-00058,2025-01-04 21:58:00,B,OP-217,F1,ML-2,PT-A,124,Winter,18.0,41.3,2.58,81.4,30.9,1.88,123.9,3.318,2.182,0.5,0.078,0.073,0.03,4.07,True,1394.5,214.5,7.38,1.24,16.36,10.0,0.241,2.15,9.9,89.4579,220.0196,4.4856,5.3,None,None,OK,False,96.08,216.07,6.1,OEM-TATA
H-2025-00059,2025-01-04 23:47:00,C,OP-308,F2,ML-2,PT-B,417,Winter,18.6,54.3,2.7,82.9,34.6,1.69,138.6,3.28,2.104,0.596,0.1,0.093,0.038,4.013,True,1413.0,233.0,7.87,3.86,12.65,0.4,0.201,2.89,1.8,89.4994,219.9985,4.4655,4.95,None,None,OK,False,97.91,218.48,2.2,OEM-TATA
H-2025-00060,2025-01-05 11:17:00,A,OP-104,F2,ML-2,PT-B,418,Winter,19.9,44.9,2.76,80.7,28.2,2.16,142.9,3.335,1.933,0.578,0.081,0.05,0.006,3.996,True,1405.1,225.1,7.89,0.52,12.85,1.9,0.255,2.9,4.3,89.4816,220.0066,4.4643,5.29,None,None,OK,False,97.99,215.37,2.47,OEM-TATA
H-2025-00061,2025-01-05 12:35:00,A,OP-104,F1,ML-1,PT-C,716,Winter,20.5,53.2,2.81,87.1,31.4,2.13,92.6,3.255,2.266,0.5,0.083,0.067,0.066,4.033,True,1418.8,238.8,6.91,10.82,9.81,2.5,0.194,2.62,6.7,89.5028,219.9778,4.49,5.66,None,None,OK,False,95.9,218.86,1.8,OEM-TATA
H-2025-00062,2025-01-06 00:41:00,C,OP-308,F1,ML-2,PT-B,419,Winter,23.4,56.3,3.59,89.0,34.2,1.89,127.3,3.437,2.001,0.703,0.099,0.075,0.005,4.129,True,1423.5,243.5,7.63,3.23,10.79,3.0,0.141,3.07,10.3,89.495,219.996,4.4916,4.29,Dimensional_NC,Scrap,Scrap,False,91.83,211.22,4.0,OEM-TATA
H-2025-00063,2025-01-06 01:49:00,C,OP-308,F1,ML-2,PT-A,125,Winter,18.8,50.0,2.77,82.9,27.5,2.0,123.6,3.527,2.078,0.609,0.091,0.069,0.02,4.243,True,1391.5,211.5,6.9,0.28,12.39,3.6,0.205,2.69,6.7,89.478,220.0159,4.5202,6.09,None,None,OK,False,96.92,213.89,3.14,OEM-TATA
H-2025-00064,2025-01-06 02:04:00,C,OP-308,F2,ML-1,PT-C,717,Winter,20.7,42.7,2.5,81.1,38.3,1.89,131.2,3.316,2.156,0.602,0.097,0.062,0.056,4.055,True,1444.8,264.8,8.45,2.7,13.43,2.7,0.111,2.5,5.9,89.498,220.0063,4.5649,6.02,None,None,OK,False,95.65,216.39,2.24,OEM-TATA
H-2025-00065,2025-01-06 03:43:00,C,OP-308,F2,ML-1,PT-B,420,Winter,23.4,52.3,3.17,76.7,36.4,1.78,144.2,3.55,2.055,0.697,0.102,0.064,0.036,4.256,True,1419.1,239.1,10.41,4.6,10.68,6.3,0.209,2.68,0.6,89.4955,219.9991,4.5108,6.2,None,None,OK,False,97.96,213.2,1.31,OEM-TATA
H-2025-00066,2025-01-06 06:26:00,A,OP-104,F1,ML-2,PT-A,126,Winter,21.7,41.4,2.5,86.2,35.7,1.93,117.6,3.337,1.984,0.5,0.063,0.08,0.005,4.025,True,1386.5,206.5,7.84,6.33,9.6,0.6,0.211,2.23,9.7,89.528,219.9651,4.467,4.68,None,None,OK,False,95.78,216.84,3.37,OEM-TATA
H-2025-00067,2025-01-06 07:39:00,A,OP-104,F2,ML-2,PT-C,718,Winter,18.6,56.3,3.5,87.8,31.8,1.71,110.4,3.266,2.297,0.571,0.077,0.07,0.019,4.055,True,1361.6,181.6,8.33,2.98,11.49,8.1,0.117,2.47,1.5,89.5027,219.9738,4.4865,5.23,Cold_Shut,Scrap,Scrap,False,87.8,210.61,5.04,OEM-TATA
H-2025-00068,2025-01-06 08:37:00,A,OP-104,F1,ML-2,PT-A,127,Winter,19.3,55.2,2.53,84.0,29.8,1.98,114.3,3.432,1.984,0.587,0.072,0.068,0.009,4.116,True,1378.0,198.0,8.67,2.75,14.52,3.9,0.122,2.25,9.2,89.4822,220.0177,4.559,6.1,None,None,OK,False,94.97,211.96,3.8,OEM-TATA
H-2025-00069,2025-01-06 11:20:00,A,OP-104,F2,ML-2,PT-A,128,Winter,23.0,48.0,3.12,84.6,40.3,2.0,95.3,3.239,1.844,0.557,0.089,0.054,0.033,3.872,True,1434.6,254.6,6.61,0.7,12.47,1.3,0.159,2.38,2.0,89.5047,220.0084,4.5646,6.46,Cracks,Scrap,Scrap,False,91.68,213.21,4.37,OEM-TATA
